date,open,high,low,close,volume,adjClose
02/01/2014,3575.600098,3577.030029,3553.649902,3563.570068,1738820000,3563.570068
03/01/2014,3564.939941,3567.51001,3537.610107,3538.72998,1667480000,3538.72998
06/01/2014,3539.02002,3542.52002,3512.449951,3526.959961,2292840000,3526.959961
07/01/2014,3539.290039,3562.98999,3535.5,3557.850098,2278220000,3557.850098
08/01/2014,3558.300049,3575.149902,3551.120117,3567.540039,2345220000,3567.540039
09/01/2014,3576.330078,3579.399902,3541.810059,3552.580078,2214770000,3552.580078
10/01/2014,3565.679932,3568.469971,3536.449951,3565.080078,2143070000,3565.080078
13/01/2014,3559.389893,3572.399902,3499.370117,3512.800049,2322240000,3512.800049
14/01/2014,3526.199951,3581.600098,3525.469971,3580.649902,2034180000,3580.649902
15/01/2014,3593.810059,3615.699951,3592.620117,3609.840088,2101870000,3609.840088
16/01/2014,3605.429932,3614.659912,3599.870117,3611.290039,2005850000,3611.290039
17/01/2014,3597.409912,3608.719971,3580.389893,3591.25,2150370000,3591.25
21/01/2014,3611.629883,3617.699951,3586.050049,3617.699951,2034030000,3617.699951
22/01/2014,3623.310059,3634.649902,3615.47998,3627.719971,2026910000,3627.719971
23/01/2014,3612.530029,3613.879883,3588.830078,3613.76001,2191980000,3613.76001
24/01/2014,3596.929932,3601,3541.379883,3541.47998,2489470000,3541.47998
27/01/2014,3543.5,3548.47998,3482.889893,3509.02002,2398280000,3509.02002
28/01/2014,3484.389893,3509.800049,3483.709961,3505.719971,2091180000,3505.719971
29/01/2014,3472.419922,3500.820068,3461.639893,3467.820068,2231850000,3467.820068
30/01/2014,3514.25,3544.209961,3508.01001,3532.409912,2168410000,3532.409912
31/01/2014,3488.370117,3539.439941,3488.040039,3521.919922,2300570000,3521.919922
03/02/2014,3524.22998,3533.47998,3433.639893,3440.5,2617030000,3440.5
04/02/2014,3460.129883,3480.73999,3449.189941,3470.199951,2173360000,3470.199951
05/02/2014,3457.040039,3469.350098,3418.879883,3454.899902,2168360000,3454.899902
06/02/2014,3465.830078,3502.52002,3465.419922,3497.600098,1942700000,3497.600098
07/02/2014,3522.330078,3563.139893,3508.830078,3561.909912,2055850000,3561.909912
10/02/2014,3558.590088,3582.840088,3557.780029,3582.110107,1811970000,3582.110107
11/02/2014,3587.580078,3628.590088,3585.080078,3621.719971,1993950000,3621.719971
12/02/2014,3626.139893,3635.919922,3618.060059,3627.360107,2035890000,3627.360107
13/02/2014,3601.75,3659.560059,3600.860107,3659.560059,2249990000,3659.560059
14/02/2014,3652.879883,3671.040039,3643.790039,3663.879883,1881510000,3663.879883
18/02/2014,3668.98999,3685.179932,3658.639893,3679.429932,1886210000,3679.429932
19/02/2014,3668.719971,3679.689941,3646.129883,3652.850098,1956720000,3652.850098
20/02/2014,3654.850098,3676.889893,3640.629883,3671.929932,1992780000,3671.929932
21/02/2014,3683.419922,3687.159912,3661.459961,3662.600098,2138250000,3662.600098
24/02/2014,3670.070068,3701.27002,3668.340088,3685.810059,2161300000,3685.810059
25/02/2014,3689.679932,3697.600098,3669.530029,3679.139893,2137150000,3679.139893
26/02/2014,3691.840088,3702.090088,3663.75,3676.600098,2108270000,3676.600098
27/02/2014,3678.310059,3704.649902,3672.639893,3699.800049,2049160000,3699.800049
28/02/2014,3703.47998,3722.379883,3664.830078,3696.100098,2617730000,3696.100098
03/03/2014,3657.320068,3678.379883,3637.669922,3668.370117,2077500000,3668.370117
04/03/2014,3710.189941,3723,3706.820068,3719.929932,2477850000,3719.929932
05/03/2014,3721.530029,3732.97998,3715.379883,3727.189941,2215980000,3727.189941
06/03/2014,3735.850098,3738.320068,3709.409912,3720.929932,2136260000,3720.929932
07/03/2014,3736.929932,3737.360107,3686.939941,3703.399902,2175560000,3703.399902
10/03/2014,3702.139893,3709.780029,3683.969971,3706.340088,2111610000,3706.340088
11/03/2014,3715.889893,3725.709961,3681.370117,3691.5,2477780000,3691.5
12/03/2014,3678.360107,3707.199951,3661.870117,3707.060059,2131880000,3707.060059
13/03/2014,3719.360107,3720.620117,3636.790039,3651.48999,2383600000,3651.48999
14/03/2014,3643.209961,3656.939941,3626.860107,3627.870117,2196890000,3627.870117
17/03/2014,3653.189941,3678.320068,3651.139893,3662.51001,1810410000,3662.51001
